id;x;y;z;time
0x6733;1829;975;0;2019-05-16 10:25:26.668
0x6733;2097;1010;0;2019-05-16 10:25:26.845
0x6733;2069;973;0;2019-05-16 10:25:27.029
0x6733;1819;979;0;2019-05-16 10:25:27.215
0x6733;1770;966;0;2019-05-16 10:25:27.389
0x6733;2074;981;0;2019-05-16 10:25:27.754
0x6733;1784;985;0;2019-05-16 10:25:27.944
0x6733;1818;1038;0;2019-05-16 10:25:28.129
0x6733;2031;1010;0;2019-05-16 10:25:28.317
0x6733;2062;1024;0;2019-05-16 10:25:28.489
0x6733;1746;1062;0;2019-05-16 10:25:28.686
0x6733;1804;987;0;2019-05-16 10:25:28.853
0x6733;1791;1000;0;2019-05-16 10:25:29.036
0x6733;2043;1042;0;2019-05-16 10:25:29.223
0x6733;2039;1002;0;2019-05-16 10:25:29.408
0x6733;1823;1027;0;2019-05-16 10:25:29.770
0x6733;2045;1017;0;2019-05-16 10:25:29.954
0x6733;1805;955;0;2019-05-16 10:25:30.140
0x6733;1802;1009;0;2019-05-16 10:25:30.325
0x6733;1826;1001;0;2019-05-16 10:25:30.691
0x6733;1789;1011;0;2019-05-16 10:25:31.069
0x6733;1691;1075;0;2019-05-16 10:25:31.434
0x6733;2062;993;0;2019-05-16 10:25:31.796
0x6733;1896;947;0;2019-05-16 10:25:32.348
0x6733;2094;936;0;2019-05-16 10:25:32.723
0x6733;1874;982;0;2019-05-16 10:25:32.897
0x6733;2111;962;0;2019-05-16 10:25:33.079
0x6733;2106;962;0;2019-05-16 10:25:33.267
0x6733;1847;982;0;2019-05-16 10:25:33.446
0x6733;2110;985;0;2019-05-16 10:25:33.629
0x6733;1905;941;0;2019-05-16 10:25:33.817
0x6733;2114;963;0;2019-05-16 10:25:34.002
0x6733;1996;1065;0;2019-05-16 10:25:34.178
0x6733;1876;918;0;2019-05-16 10:25:34.356
0x6733;2056;1031;0;2019-05-16 10:25:34.728
0x6733;2094;950;0;2019-05-16 10:25:34.910
0x6733;1937;937;0;2019-05-16 10:25:35.093
0x6733;1793;1091;0;2019-05-16 10:25:35.278
0x6733;2019;1173;0;2019-05-16 10:25:35.455
0x6733;1941;1140;0;2019-05-16 10:25:35.641
0x6733;1994;945;0;2019-05-16 10:25:35.822
0x6733;1994;858;0;2019-05-16 10:25:36.014
0x6733;2310;946;0;2019-05-16 10:25:36.184
0x6733;2458;948;0;2019-05-16 10:25:36.557
0x6733;2592;768;0;2019-05-16 10:25:36.926
0x6733;2537;821;0;2019-05-16 10:25:37.102
0x6733;2579;832;0;2019-05-16 10:25:37.288
0x6733;2644;871;0;2019-05-16 10:25:37.841
0x6733;2628;866;0;2019-05-16 10:25:38.021
0x6733;2611;850;0;2019-05-16 10:25:38.207
0x6733;2646;862;0;2019-05-16 10:25:38.385
0x6733;2648;661;0;2019-05-16 10:25:38.570
0x6733;2642;786;0;2019-05-16 10:25:38.747
0x6733;2704;808;0;2019-05-16 10:25:38.931
0x6733;2734;801;0;2019-05-16 10:25:39.122
0x6733;2752;853;0;2019-05-16 10:25:39.482
0x6733;2786;903;0;2019-05-16 10:25:39.676
0x6733;2745;856;0;2019-05-16 10:25:39.852
0x6733;2774;860;0;2019-05-16 10:25:40.216
0x6733;2769;846;0;2019-05-16 10:25:40.584
0x6733;2782;863;0;2019-05-16 10:25:40.772
0x6733;2768;867;0;2019-05-16 10:25:40.954
0x6733;2700;865;0;2019-05-16 10:25:41.141
0x6733;2661;870;0;2019-05-16 10:25:41.316
0x6733;2732;853;0;2019-05-16 10:25:41.505
0x6733;2762;840;0;2019-05-16 10:25:41.687
0x6733;2713;858;0;2019-05-16 10:25:41.866
0x6733;2697;858;0;2019-05-16 10:25:42.051
0x6733;2710;842;0;2019-05-16 10:25:42.232
0x6733;2790;840;0;2019-05-16 10:25:42.421
0x6733;2730;878;0;2019-05-16 10:25:42.595
0x6733;2788;846;0;2019-05-16 10:25:42.778
0x6733;2794;876;0;2019-05-16 10:25:42.959
0x6733;2767;876;0;2019-05-16 10:25:43.146
0x6733;2811;852;0;2019-05-16 10:25:43.326
0x6733;2786;831;0;2019-05-16 10:25:43.513
0x6733;2774;825;0;2019-05-16 10:25:43.695
0x6733;2806;848;0;2019-05-16 10:25:43.882
0x6733;2803;847;0;2019-05-16 10:25:44.066
0x6733;2657;902;0;2019-05-16 10:25:44.443
0x6733;2754;896;0;2019-05-16 10:25:44.616
0x6733;2782;864;0;2019-05-16 10:25:44.802
0x6733;2696;887;0;2019-05-16 10:25:44.983
0x6733;2707;927;0;2019-05-16 10:25:45.353
0x6733;2727;817;0;2019-05-16 10:25:45.538
0x6733;2713;854;0;2019-05-16 10:25:45.715
0x6733;2653;817;0;2019-05-16 10:25:45.898
0x6733;2750;784;0;2019-05-16 10:25:46.080
0x6733;2756;776;0;2019-05-16 10:25:46.446
0x6733;2731;831;0;2019-05-16 10:25:46.637
0x6733;2651;845;0;2019-05-16 10:25:46.996
0x6733;2712;886;0;2019-05-16 10:25:47.172
0x6733;2773;785;0;2019-05-16 10:25:47.363
0x6733;2737;815;0;2019-05-16 10:25:47.540
0x6733;2672;830;0;2019-05-16 10:25:47.740
0x6733;2726;863;0;2019-05-16 10:25:47.915
0x6733;2733;871;0;2019-05-16 10:25:48.101
0x6733;2658;857;0;2019-05-16 10:25:48.278
0x6733;2609;879;0;2019-05-16 10:25:48.645
0x6733;2544;924;0;2019-05-16 10:25:48.820
0x6733;2729;874;0;2019-05-16 10:25:49.190
0x6733;2799;870;0;2019-05-16 10:25:49.380
0x6733;2795;861;0;2019-05-16 10:25:49.551
0x6733;2688;871;0;2019-05-16 10:25:49.739
0x6733;2754;866;0;2019-05-16 10:25:49.924
0x6733;2710;904;0;2019-05-16 10:25:50.109
0x6733;2693;868;0;2019-05-16 10:25:50.284
0x6733;2761;848;0;2019-05-16 10:25:50.470
0x6733;2717;867;0;2019-05-16 10:25:50.660
0x6733;2695;851;0;2019-05-16 10:25:50.837
0x6733;2709;865;0;2019-05-16 10:25:51.209
0x6733;2722;891;0;2019-05-16 10:25:51.391
0x6733;2725;862;0;2019-05-16 10:25:51.570
0x6733;2760;872;0;2019-05-16 10:25:51.936
0x6733;2761;859;0;2019-05-16 10:25:52.128
0x6733;2701;894;0;2019-05-16 10:25:52.314
0x6733;2747;898;0;2019-05-16 10:25:52.491
0x6733;2786;841;0;2019-05-16 10:25:52.674
0x6733;2779;866;0;2019-05-16 10:25:52.852
0x6733;2773;871;0;2019-05-16 10:25:53.054
0x6733;2729;881;0;2019-05-16 10:25:53.222
0x6733;2748;853;0;2019-05-16 10:25:53.404
0x6733;2731;884;0;2019-05-16 10:25:53.586
0x6733;2747;901;0;2019-05-16 10:25:53.959
0x6733;2721;870;0;2019-05-16 10:25:54.143
0x6733;2706;884;0;2019-05-16 10:25:54.323
0x6733;2741;867;0;2019-05-16 10:25:54.690
0x6733;2741;858;0;2019-05-16 10:25:54.873
0x6733;2797;882;0;2019-05-16 10:25:55.055
0x6733;2724;883;0;2019-05-16 10:25:55.237
0x6733;2748;876;0;2019-05-16 10:25:55.420
0x6733;2717;896;0;2019-05-16 10:25:55.608
0x6733;2767;887;0;2019-05-16 10:25:55.974
0x6733;2684;849;0;2019-05-16 10:25:56.158
0x6733;2663;871;0;2019-05-16 10:25:56.344
0x6733;2777;845;0;2019-05-16 10:25:56.526
0x6733;2751;775;0;2019-05-16 10:25:56.714
0x6733;2708;782;0;2019-05-16 10:25:56.898
0x6733;2701;774;0;2019-05-16 10:25:57.081
0x6733;2682;803;0;2019-05-16 10:25:57.264
0x6733;2735;766;0;2019-05-16 10:25:57.441
0x6733;2729;783;0;2019-05-16 10:25:57.628
0x6733;2679;820;0;2019-05-16 10:25:57.998
0x6733;2750;838;0;2019-05-16 10:25:58.180
0x6733;2758;838;0;2019-05-16 10:25:58.358
0x6733;2735;844;0;2019-05-16 10:25:58.910
0x6733;2753;830;0;2019-05-16 10:25:59.283
0x6733;2725;836;0;2019-05-16 10:25:59.466
0x6733;2728;821;0;2019-05-16 10:25:59.646
0x6733;2754;802;0;2019-05-16 10:26:00.017
0x6733;2755;786;0;2019-05-16 10:26:00.199
0x6733;2744;789;0;2019-05-16 10:26:00.378
0x6733;2724;783;0;2019-05-16 10:26:00.747
0x6733;2737;823;0;2019-05-16 10:26:00.929
0x6733;2726;793;0;2019-05-16 10:26:01.121
0x6733;2736;795;0;2019-05-16 10:26:01.300
0x6733;2740;800;0;2019-05-16 10:26:01.481
0x6733;2698;831;0;2019-05-16 10:26:01.663
