;time;id;x;y;height;cam
565;1557995109910;27966;265;178;1216;D8:80:39:D8:42:9E
566;1557995110213;27966;264;178;1216;D8:80:39:D8:42:9E
567;1557995110411;27966;264;178;1216;D8:80:39:D8:42:9E
568;1557995110705;27966;265;178;1216;D8:80:39:D8:42:9E
569;1557995110908;27966;265;178;1216;D8:80:39:D8:42:9E
570;1557995111220;27966;265;178;1216;D8:80:39:D8:42:9E
571;1557995111437;27966;265;178;1216;D8:80:39:D8:42:9E
572;1557995111717;27966;265;178;1216;D8:80:39:D8:42:9E
573;1557995111909;27966;265;178;1216;D8:80:39:D8:42:9E
574;1557995112218;27966;265;178;1216;D8:80:39:D8:42:9E
575;1557995112416;27966;264;178;1216;D8:80:39:D8:42:9E
576;1557995112721;27966;265;178;1216;D8:80:39:D8:42:9E
577;1557995112912;27966;265;178;1216;D8:80:39:D8:42:9E
578;1557995113213;27966;265;178;1216;D8:80:39:D8:42:9E
579;1557995113408;27966;265;178;1216;D8:80:39:D8:42:9E
580;1557995113711;27966;265;178;1216;D8:80:39:D8:42:9E
581;1557995113910;27966;265;178;1216;D8:80:39:D8:42:9E
582;1557995114209;27966;265;178;1216;D8:80:39:D8:42:9E
583;1557995114408;27966;265;178;1216;D8:80:39:D8:42:9E
584;1557995114715;27966;265;178;1216;D8:80:39:D8:42:9E
585;1557995114940;27966;265;179;1216;D8:80:39:D8:42:9E
586;1557995115218;27966;265;179;1216;D8:80:39:D8:42:9E
587;1557995115410;27966;265;178;1216;D8:80:39:D8:42:9E
588;1557995115705;27966;265;178;1216;D8:80:39:D8:42:9E
589;1557995116013;27966;265;178;1216;D8:80:39:D8:42:9E
590;1557995116212;27966;265;178;1216;D8:80:39:D8:42:9E
591;1557995116413;27966;265;178;1216;D8:80:39:D8:42:9E
592;1557995116709;27966;265;178;1216;D8:80:39:D8:42:9E
593;1557995116908;27966;265;178;1216;D8:80:39:D8:42:9E
594;1557995117230;27966;265;178;1216;D8:80:39:D8:42:9E
595;1557995117429;27966;265;178;1216;D8:80:39:D8:42:9E
596;1557995117714;27966;265;179;1208;D8:80:39:D8:42:9E
597;1557995118010;27966;266;180;1208;D8:80:39:D8:42:9E
598;1557995118212;27966;266;180;1216;D8:80:39:D8:42:9E
599;1557995118511;27966;265;180;1216;D8:80:39:D8:42:9E
600;1557995118715;27966;265;180;1216;D8:80:39:D8:42:9E
601;1557995119013;27966;266;180;1216;D8:80:39:D8:42:9E
602;1557995119223;27966;268;180;1208;D8:80:39:D8:42:9E
603;1557995119415;27966;269;180;1192;D8:80:39:D8:42:9E
604;1557995119711;27966;271;180;1177;D8:80:39:D8:42:9E
605;1557995119914;27966;273;180;1185;D8:80:39:D8:42:9E
606;1557995120247;27966;277;180;1259;D8:80:39:D8:42:9E
607;1557995120409;27966;277;182;1403;D8:80:39:D8:42:9E
608;1557995120706;27966;276;183;1690;D8:80:39:D8:42:9E
609;1557995120907;27966;274;182;1804;D8:80:39:D8:42:9E
610;1557995121218;27966;269;179;1843;D8:80:39:D8:42:9E
611;1557995121415;27966;266;179;1843;D8:80:39:D8:42:9E
612;1557995121710;27966;262;180;1852;D8:80:39:D8:42:9E
613;1557995121912;27966;261;180;1851;D8:80:39:D8:42:9E
614;1557995122210;27966;261;181;1831;D8:80:39:D8:42:9E
615;1557995122408;27966;262;181;1814;D8:80:39:D8:42:9E
616;1557995122715;27966;264;182;1772;D8:80:39:D8:42:9E
617;1557995123010;27966;269;184;1707;D8:80:39:D8:42:9E
618;1557995123213;27966;270;184;1679;D8:80:39:D8:42:9E
619;1557995123421;27966;270;183;1675;D8:80:39:D8:42:9E
620;1557995123710;27966;271;182;1676;D8:80:39:D8:42:9E
621;1557995123910;27966;271;182;1680;D8:80:39:D8:42:9E
622;1557995124219;27966;270;182;1704;D8:80:39:D8:42:9E
623;1557995124411;27966;269;182;1728;D8:80:39:D8:42:9E
624;1557995124726;27966;267;182;1758;D8:80:39:D8:42:9E
625;1557995124907;27966;266;182;1776;D8:80:39:D8:42:9E
626;1557995125224;27966;265;182;1794;D8:80:39:D8:42:9E
627;1557995125415;27966;264;182;1794;D8:80:39:D8:42:9E
628;1557995125708;27966;264;182;1787;D8:80:39:D8:42:9E
629;1557995125910;27966;265;182;1787;D8:80:39:D8:42:9E
630;1557995126214;27966;265;182;1783;D8:80:39:D8:42:9E
631;1557995126408;27966;265;182;1780;D8:80:39:D8:42:9E
632;1557995126716;27966;264;182;1780;D8:80:39:D8:42:9E
633;1557995126916;27966;264;182;1776;D8:80:39:D8:42:9E
634;1557995127224;27966;264;182;1773;D8:80:39:D8:42:9E
635;1557995127412;27966;264;183;1773;D8:80:39:D8:42:9E
636;1557995127706;27966;264;183;1773;D8:80:39:D8:42:9E
637;1557995127908;27966;264;182;1773;D8:80:39:D8:42:9E
638;1557995128227;27966;264;182;1773;D8:80:39:D8:42:9E
639;1557995128511;27966;264;182;1773;D8:80:39:D8:42:9E
640;1557995128715;27966;264;182;1773;D8:80:39:D8:42:9E
641;1557995129011;27966;264;182;1773;D8:80:39:D8:42:9E
642;1557995129220;27966;264;182;1773;D8:80:39:D8:42:9E
643;1557995129411;27966;264;182;1773;D8:80:39:D8:42:9E
644;1557995129718;27966;264;182;1769;D8:80:39:D8:42:9E
645;1557995129909;27966;265;182;1769;D8:80:39:D8:42:9E
646;1557995130212;27966;265;181;1773;D8:80:39:D8:42:9E
647;1557995130409;27966;265;181;1769;D8:80:39:D8:42:9E
648;1557995130715;27966;265;181;1758;D8:80:39:D8:42:9E
649;1557995130915;27966;265;181;1755;D8:80:39:D8:42:9E
650;1557995131219;27966;267;182;1714;D8:80:39:D8:42:9E
651;1557995131411;27966;264;183;1635;D8:80:39:D8:42:9E
652;1557995131706;27966;252;191;1524;D8:80:39:D8:42:9E
653;1557995131907;27966;249;196;1491;D8:80:39:D8:42:9E
654;1557995132218;27966;249;197;1474;D8:80:39:D8:42:9E
655;1557995132413;27966;249;197;1474;D8:80:39:D8:42:9E
656;1557995132711;27966;248;196;1474;D8:80:39:D8:42:9E
657;1557995132912;27966;248;196;1474;D8:80:39:D8:42:9E
658;1557995133215;27966;248;197;1474;D8:80:39:D8:42:9E
659;1557995133412;27966;249;197;1474;D8:80:39:D8:42:9E
